No.,会社名,設立年,代表者名,従業員数,住所,会社URL
72,東京メールサービス株式会社,1974年, - ,100-499人,埼玉県朝霞市膝折町4-22-60,http://www.tm-service.co.jp/
73,後藤運輸株式会社,1949年,牧正康,100-499人,長崎市出島町2-16,http://www.gotounyu.co.jp/index.html
74,株式会社学研ロジスティクス,1992年,山村優,30-99人,東京都品川区西五反田3-6-20,https://logi.gakken.jp/
75,株式会社ハセガワロジスティクス,2000年, - ,10-29人,東京都大田区東海4-2-10コクサイエアロマリン２Ｆ,https://freejob.work/FJAC33030002298/#LBLTOP
76,株式会社YAMATE,1957年, - ,100-499人,東京都板橋区志村3-30-4,https://www.yamate-unsou.com/
77,株式会社トワード,1951年, - ,500-999人,佐賀県神埼郡吉野ヶ里町三津166-13,http://www.towardls.co.jp/outline/index.html
78,株式会社天野回漕店,1923年, - , - ,静岡県静岡市清水区港町二丁目9番5号,http://www.amanok.co.jp/
79,株式会社MPS,1991年,石井 智幸,30-99人,千葉県千葉市美浜区浜田2-19,https://www.mpsco.jp/
80,ウレルロジスティクス株式会社,2006年, - ,5-9人,埼玉県三郷市泉2-14-3,http://www.urelogi.co.jp/
81,株式会社共栄物流サービス, - , - , - ,東京都大田区大森北1-32-1　ウェリスシティ大森タワー25F,http://www.kyoei-butsuryu.com/
82,株式会社ポスコム,1999年,山村　勝彦,5-9人,東京都中央区日本橋小伝馬町18-12 増田ビル3F,http://www.pos-com.co.jp/
83,株式会社ターボ商事,1987年, - ,30-99人,埼玉県越谷市流通団地3-3-6,http://turboshoji.co.jp/
84,トランスコスモス株式会社,1985年,奥田　耕己,1000人以上,東京都豊島区東池袋3-1-1 サンシャイン60,https://www.trans-cosmos.co.jp/
85,株式会社マキシマム＆アドバンテージ,2007年, - ,30-99人,神奈川県鎌倉市大船5-12-18　湘南流通センター,http://eco-taku.jp
86,株式会社MOTOMURA,1967年,本村　真作,100-499人,埼玉県朝霞市上内間木713-1,https://motomuralog.com/
87,株式会社O.D.A, - , - , - ,兵庫県姫路市南町76　姫路城陽ビル6F,https://ki-logi.com
88,株式会社コーリング,2000年, - ,30-99人,千葉県市川市塩浜2-30,https://calling.jp/
89,上昇運輸株式会社,1981年, - ,30-99人,東京都足立区南花畑4-3-22,http://www.josho-express.co.jp/
90,株式会社河村物流,2020年, - ,30-99人,大阪府大阪市住之江区御崎6-1-3 4F,https://kawamura-buturyu.jp/
91,株式会社オーバルネットワーク,2002年,河野　昇,30-99人,東京都品川区勝島1-2-1 SGH勝島A棟2階,http://www.ovalnetwork.co.jp/
92,株式会社結い人, - , - , - ,東京都中央区京橋1-1-5　セントラルビル２F,https://yuibito.gifts/
93,株式会社シンメイ,1989年, - ,100-499人,神奈川県鎌倉市常盤35-4　明治牛乳湘南宅配センター2F,http://www.shinmei-log.co.jp/
94,藤阪倉庫運送株式会社,1947年, - ,30-99人,大阪府高槻市三島江1-5-32,https://fujisaka-soko.com/
95,株式会社沖縄トータルロジスティクス,2011年, - ,10-29人,沖縄県うるま市勝連南風原5194番地68,https://www.okinawatl.com
96,株式会社souco,2016年, - , - ,東京都千代田区麹町 1-4-4 LIFULL HUB,https://www.souco.space/
97,ツカサ物流株式会社,2010年, - ,30-99人,埼玉県北葛飾郡松伏町田中3-25-28,http://www.tsukasa-logi.com
98,南和運送株式会社,1953年, - ,30-99人,奈良県五條市二見4-4-43,http://n-carry.co.jp/
99,日本トランスシティ株式会社,1942年,安藤 仁,1000人以上,三重県四日市市霞二丁目1番地の1,https://www.trancy.co.jp/
100,株式会社 東配,1964年,熊井 大遊,30-99人,埼玉県川口市峯1302,https://www.tohai.co.jp/
101,株式会社 ピーアンドディーヒロサワ,1965年, - ,100-499人,東京都北区浮間５丁目１５番１４号,http://www.panddhirosawa.co.jp/
102,有限会社大野運送,1989年, - ,10-29人,兵庫県神戸市中央区東川崎町7-12-8,http://www.oonounso.com/
103,株式会社エヌ・ティ・ティ・ロジスコ,1991年, - ,1000人以上,東京都大田区平和島一丁目1番2号　平和島物流センター７階,https://www.nttlogisco.com/
104,株式会社ニッセン,2007年,羽渕 淳,100-499人,京都府京都市南区西九条院町26番地,http://www.nissen.biz/
105,合同会社 黒船,2014年, - , - ,埼玉県草加市瀬崎5-5-22,https://xn--3d1aq99c.jp/
106,日立物流ファインネクスト株式会社,2011年, - ,500-999人,東京都中央区京橋2丁目9番2号 日立物流ビル3F,https://www.hitachi-transportsystem.com/jp/finenext/
107,株式会社明和サービス,2007年, - ,30-99人,埼玉県戸田市氷川町3-9-20,https://meiwa-s.com
108,株式会社山中運輸,1953年, - ,100-499人,大阪府大阪市城東区永田2-8-2,http://www.yamanaka-unyu.co.jp/
109,富士物流株式会社,1975年, - ,1000人以上,東京都港区三田三丁目10番1号,https://www.fujibuturyu.co.jp/
110,吉村運送株式会社, - , - , - ,大阪府東大阪市加納4丁目4番5号,http://www.cityliner.co.jp/yoshimura/
111,ミナモト倉庫株式会社,1970年,押田大介,30-99人,埼玉県川口市峯460番地,https://www.minamoto-logistics.co.jp/
112,株式会社ジャンボ,1988年, - ,30-99人,大阪府泉佐野市鶴原1406-1,http://j-mb.co.jp/
113,カトーレック株式会社,1967年, - ,1000人以上,東京都江東区枝川2-8-7,https://www.katolec.com/
114,株式会社カネコ,1977年, - , - ,埼玉県八潮市八潮4-1-1,https://www.kaneko.vc/
115,弘立倉庫株式会社,1967年, - ,100-499人,東京都葛飾区新宿２丁目８番２０号,http://www.kouritsu-gr.co.jp/
116,株式会社アルファ・クリエイト,2004年,山下　健治,100-499人,河内郡上三川町西汗1780,https://alpha-04.com/
117,マルソー株式会社,1913年, - ,100-499人,新潟県三条市月岡字綾ﾉ前2783-1,https://www.maruso.co.jp/
118,株式会社関通,1986年, - ,500-999人,兵庫県尼崎市西向島町111-4,https://www.kantsu.com/
119,株式会社フェイバリット,2007年, - ,1000人以上,東京都昭島市武蔵野２丁目２１－１,https://fv-tmlc.com/
120,メールカスタマーセンター株式会社,1999年, - ,10-29人,東京都港区海岸1丁目2番20号 汐留ビルディング21階,https://www.mail-cc.com/
121,株式会社 ロジ・ウエイズ,2007年, - ,100-499人,滋賀県大津市御殿浜19-10,https://www.omotenashi-logi.jp/
122,ロジストン株式会社,2018年, - ,10-29人,埼玉県川口市戸塚東3-33-1,https://logistone.jp/
123,ヤマトロジスティクス株式会社,1999年, - ,1000人以上,東京都中央区銀座2丁目12番18号　ヤマト銀座ビル5F,http://www.y-logi.com/
124,株式会社ソネッティーク,1997年, - , - ,栃木県河内郡上三川町西汗1662-1  不二ロジカーゴ3F,https://www.sonettique.com/
125,ヤマトパッキングサービス株式会社,1947年, - ,1000人以上,東京都江東区海辺8-4,https://www.y-logi.com/ypc/
126,株式会社関根エンタープライズ,1996年, - ,1000人以上,埼玉県越谷市増森207-12 関根ビル2F, - 
127,gf.K株式会社,1974年,長屋 聡,100-499人,東京都江戸川区臨海町3-6-4　ヒューリック葛西臨海ビル,https://www.gf-k.co.jp/
128,株式会社LinkStructure,2019年, - , - ,埼玉県川越市小堤６４７－３,https://linkstructure.biz/
129,アクロストランスポート株式会社,1972年, - ,1000人以上,東京都江東区新木場2-14-11,https://www.across-tr.co.jp/
130,八光社梱包運輸株式会社,1970年, - ,30-99人,東京都中央区日本橋茅場町2-8-1,https://www.hakkosha.co.jp/
131,株式会社テスココンポ,1965年, - ,1000人以上,埼玉県行田市持田2165,https://www.tescompo.co.jp/profile.html
132,株式会社Transport Wunder,2021年,佐々木桂一郎,10-29人,嘉穂郡桂川町吉隈430-42,https://transportwunder.com/
133,株式会社For needs,2006年,谷沢　潤一,100-499人,東京都江戸川区松江4-4-1,http://www.for-needs.co.jp/
134,株式会社 蓑島ロジスティックス,2009年,蓑島美家雄,30-99人,岐阜県瑞穂市野白新田320番地3,https://minoshima.jp/
135,沼尻産業株式会社,1964年, - ,100-499人,茨城県つくば市榎戸783-12,http://www.numajiri.co.jp/
136,株式会社エスライン,1947年, - , - ,岐阜県羽島郡岐南町平成4丁目68番地,http://sline.co.jp/
137,アドレス通商株式会社,1959年,竹尾　正,1000人以上,東京都江戸川区臨海町3-6-3,http://www.adotsu.co.jp/
138,株式会社エムワン,2002年, - ,100-499人,福岡県糟屋郡宇美町大字井野221番地1,http://www.m-one-0551.com/
139,株式会社物研,1983年, - , - ,大阪府堺市中区田園685-1,https://www.bukken-logi.co.jp/
140,名古屋貨物運輸倉庫株式会社,1964年, - ,100-499人,愛知県小牧市多気西町18番地,http://www.nagoyakamotsu.com/
141,株式会社岡商店,1964年,代表取締役　岡秀太郎,100-499人,熊本県合志市幾久富1909-1398,http://www.okashoten.co.jp/
142,株式会社アラウン,1953年, - ,100-499人,東京都港区西新橋２丁目３５−５ 荒川ビル,https://araun.co.jp/
143,東神倉庫株式会社,1953年, - ,100-499人,東京都品川区勝島1丁目5番21号,http://www.toshin-soko.co.jp/
144,ダイハート物流株式会社,2001年, - ,100-499人,大阪府大阪市都島区東野田町2丁目9番12号松和京橋第2ビル7階,http://www.daiheart.co.jp/
145,株式会社データセレクト,1992年, - ,10-29人,愛知県豊明市阿野町昭和5-1,https://www.d-select.co.jp/
146,株式会社ハマキョウレックス,1971年, - ,500-999人,静岡県浜松市南区寺脇町1701-1,http://www.hamakyorex.co.jp/
147,株式会社アスト中本,1968年, - ,100-499人,大阪府堺市中区小阪西町1番1号,https://www.asuto-iza.co.jp/
148,有限会社DCネットワークス,1997年, - , - ,静岡県三島市市山新田6-1,http://www.dcnetworks.co.jp/
149,共栄産業株式会社,1969年, - ,30-99人,東京都日野市東豊田4-21-2,http://www.kyoei-s.co.jp/
150,株式会社グローバル,1998年, - ,10-29人,神奈川県厚木市関口115-1 ダイアパレス本厚木413,http://www.global-117.co.jp/
151,株式会社ワタナベ流通,1978年, - ,100-499人,東京都新宿区西早稲田2-12-5　ワタナベビル,http://www.wataryu.co.jp/
152,株式会社若洲,1950年, - ,30-99人,東京都江東区若洲二丁目3番7号,https://www.wakasu.co.jp/
153,株式会社東京ロジマッチ,2000年, - ,1000人以上,東京都港区浜松町1-29-10 東京ラインビル9階,https://logimatch.co.jp/
154,株式会社 美空海, - , - , - ,福岡県福岡市中央区笹丘1-17-29 MJR5F-1,http://www.hassoudaiko.com/
155,株式会社ラシスコ,1994年, - ,100-499人,埼玉県朝霞市根岸台1-8-23,http://www.rasisco.co.jp/index.html
156,株式会社根本運送,1980年, - ,1000人以上,千葉県香取市本矢作1122-3,http://www.nemoto-trs.co.jp/
157,関空運輸株式会社,1991年, - ,100-499人,大阪府泉佐野市中庄102番地-1,https://www.kanku-unyu.com/
158,株式会社インターコード,2009年,広瀬　裕,30-99人,沖縄県那覇市辻1-16-9 サングリーンビル1階,https://www.i-chord.com/
159,有限会社三恵ピーアール,1967年,吉田 寛,10-29人,東京都世田谷区北烏山1-50-20,http://www.sankeipr.co.jp
160,奥田数株式会社,1948年, - ,30-99人,大阪府大阪市福島区福島3丁目1番53号,http://okudakazu.co.jp/
161,BOND’s株式会社,2015年,澁井拓也,30-99人,埼玉県さいたま市内谷2-7-17,http://bonds.jp.net/
162,株式会社エコ配,2007年, - ,100-499人,東京都港区西新橋2-8-12 第二土井ビル5F,http://www.ecohai.co.jp/
