No.,会社名,設立年,代表者名,従業員数,住所,会社URL
156,GRANDIT株式会社,2003年, - , - ,東京都港区赤坂9丁目7番2号 東京ミッドタウンイースト10階,http://www.grandit.jp/
157,アクロクエストテクノロジー株式会社,1991年, - ,30-99人,神奈川県横浜市港北区新横浜３丁目１７番地２,http://www.acroquest.co.jp/
158,協和テクノロジィズ株式会社,1948年, - ,100-499人,大阪府大阪市中崎一丁目2番23号,http://www.kyotec.co.jp/
159,株式会社エクス,1994年, - ,100-499人,大阪府大阪市北区豊崎3-19-3 ピアスタワー20F,https://www.xeex.co.jp/
160,株式会社クレスコ,1988年, - ,1000人以上,東京都港区港南2-15-1 品川インターシティA棟 25階～27階,https://www.cresco.co.jp/
161,サークレイス株式会社,2012年, - ,100-499人,東京都中央区京橋1-11-1 関電不動産八重洲ビル 4F,https://www.circlace.com/
162,株式会社Digeon,2020年,山﨑 祐太,10-29人,兵庫県神戸市中央区浪花町64 三宮電電ビル5階,https://digeon.co/
163,株式会社マレント,2017年,藤田 広樹,10-29人,大阪府大阪市北区中崎西1丁目5-4 6F,https://mallento.com/
164,株式会社ティーケーシステム,1982年,片平隆士,10-29人,静岡県静岡市清水区庵原町143-18,http://www.tk-s.co.jp/
165,アドバンスド・コンサルティング株式会社,2005年, - , - ,東京都渋谷区恵比寿南1-12-1 えいしん会館3F,http://www.advancedconsulting.co.jp/index.html
166,株式会社シーネット コネクト サービス,2016年, - ,30-99人,千葉県千葉市美浜区中瀬1丁目3　幕張テクノガーデン B棟 3階,https://www.cnet-technology.com/
167,株式会社日立システムズ,1962年, - ,1000人以上,東京都品川区大崎1-2-1　大崎フロントタワー,https://www.hitachi-systems.com/
168,日本コンピューターネットワーク株式会社,1984年,伊藤真美,30-99人,愛知県名古屋市中区錦1-5-13オリックス名古屋錦ビル5階,http://www.ncn-ncc.co.jp/index.html
169,アンダーデザイン株式会社,1949年, - ,100-499人,大阪府東大阪市長田3-5-11,https://underdesign.co.jp/
170,株式会社relation,2012年,井上　亮,100-499人,東京本社：東京都千代田区岩本町3-1-9 NOVEL WORK Iwamotocho 6F　大阪オフィス：大阪市北区東天満2-9-1 若杉センタービル本館7F,http://relation2012.com/
171,株式会社CI,2017年,佐伯康雄,10-29人,大阪府大阪市中央区平野町２丁目５−８,https://creative-innovation.co.jp/
172,Olive合同会社,2018年,坂井祐一、中澤沙織（共同代表）,5-9人,新潟県新潟市中央区紫竹山7-8-12,https://olive-niigata.com/
173,オーシャン・アンド・パートナーズ株式会社,2007年, - ,5-9人,東京都中央区京橋 1-1-5 セントラルビル2F　fabbit京橋,https://www.ocean-ap.co.jp/
174,株式会社ICSパートナーズ,1980年, - ,100-499人,東京都千代田区丸の内3丁目1番1号大阪府大阪市北区大深町3番1号,http://www.ics-p.net/
