No.,会社名,設立年,代表者名,従業員数,住所,会社URL
64,レグルス社会保険労務士　社会福祉士事務所,2015年, - ,1-4人,東京都八王子市中野上町3-32-3-103,https://www.regulus-sr-sw.biz/
65,ドラフト労務管理事務所,2009年, - ,1-4人,大阪府大阪市東成区中道3丁目15番16号 毎日東ビル4階,http://www.draft-sr.com/
66,北川社会保険労務士事務所, - , - , - ,神奈川県相模原市南区上鶴間本町2-35-5,http://www.kitakawa-office.jp/
67,社会保険労務士法人ＭＲパートナーズ,1994年,猶木　貴彦,30-99人,東京都武蔵野市吉祥寺本町1-10-31 NMF吉祥寺本町ビル4階,http://www.rousei.com/
68,高橋中小企業診断士オフィス,1997年, - ,1-4人,福岡県福岡市早良区有田5-9-19,http://t-office.jpn.org/
69,フロネシス労務経営事務所, - , - , - ,徳島県徳島市川内町宮島本浦78-3,http://phronesis-lm.com/index/
70,オフィス-Ｔ,2019年, - ,1-4人,愛知県名古屋市昭和区八事富士見212番地,https://officet-nagoya.com/
71,スクラム社会保険労務士法人,2020年, - ,1-4人,東京都渋谷区松濤1-28-2 WORK COURT渋谷松濤,https://scrum-sr.jp/
72,社会保険労務士法人TSC,2004年,宇多智,30-99人,東京都新宿区西新宿2-6-1　新宿住友ビル14階,https://www.cacgr.co.jp/service/syakai-hoken/#company
73,社会保険労務士法人キューズフル,2020年,堀　正佳,5-9人,大阪府大阪市北区紅梅町4-23 TM南森町ビル2F,https://cuseful.co.jp/sr/
74,イースリーパートナーズ社労士事務所, - , - ,1-4人,大阪府高槻市城北町2丁目5-12 ワイイーケイビル2-B号,http://www.syuugyoukisoku.jp/
75,社会保険労務士法人,2010年, - ,1-4人, - , - 
76,Naito事務所社会保険労務士法人, - , - ,10-29人,神奈川県秦野市本町2-1-27 内藤ビル4F,https://naito-sr.com/
77,上田社会保険労務士事務所,2009年, - , - ,富山県下新川郡入善町入膳5455-1,http://www.toyama-ueda.jp/
78,社会保険労務士法人Ａｎ-ｆｉｅｌｄ,2017年, - ,10-29人,愛知県豊川市松風町46番地  2F-C,http://www.ak-sr.jp/
79,社会保険労務士法人みらいパートナーズ,2008年, - ,30-99人,東京都港区虎ノ門3丁目10－3　虎ノ門MTビル3F,https://mirai-ptns.jp/
80,アクタス社会保険労務士法人,1997年,松澤　隆志,30-99人,東京都港区⾚坂4-2-6　住友不動産新⾚坂ビル2F,https://www.actus.co.jp/lp/bpo/
81,b社会保険労務士法人,2024年,木村 理平,1-4人,東京都港区海岸, - 
82,首藤糸穂社労士オフィス, - ,首藤 糸穂,10-29人,埼玉県 さいたま市,https://sr-station.com/offices/%E9%A6%96%E8%97%A4%E7%B3%B8%E7%A9%82%E7%A4%BE%E5%8A%B4%E5%A3%AB%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9/
83,社会保険労務士法人中企団総研,2007年, - ,30-99人,東京都台東区松が谷1-3-5 JPR上野イーストビル2階,http://www.k-sk.com/
84,よつば社会保険労務士事務所,2009年, - ,5-9人,大阪府大阪市北区芝田2丁目9-19 イノイ第二ビル502,https://yotsubasr.com/
85,社会保険労務士古山事務所, - , - , - ,東京都新宿区西新宿6-21-1ｱｲﾀｳﾝﾚﾋﾟｱ403,http://www.office-furuyama.jp/
