No.,会社名,設立年,代表者名,従業員数,住所,会社URL
116,センチュリーアンドカンパニー,1973年, - ,100-499人,東京都中央区日本橋2丁目12番10号 高島屋グループ本社ビル4F,https://www.century-and.co.jp
117,株式会社人材バンク,1999年, - ,10-29人,東京都杉並区高円寺南四丁目45番9号モンテローザ本社ビル別館（ステージ高円寺）3F,http://www.jinzai-bank.co.jp/
118,株式会社スーパーナース,1993年, - ,100-499人,東京都千代田区平河町2-16-1 平河町森タワー7階,http://www.supernurse.co.jp/
119,株式会社九州インターメディア研究所,1998年, - ,100-499人,福岡県福岡市博多区下川端町3-1 博多リバレインモール2階,https://kiml.co.jp/
120,株式会社アヴァンティスタッフ,1984年, - ,100-499人,東京都中央区日本橋兜町6-7兜町第７平和ビル（旧：ヒューリック兜町ビル）,https://www.avantistaff.com/
121,株式会社iDA,1999年, - ,1000人以上,東京都渋谷区代々木2-2-1 小田急サザンタワー 7F大阪府大阪市中央区本町3-3-8 山口興産ビル 5F,http://www.ida-mode.com/
122,株式会社ニッソーネット,1999年, - ,100-499人,大阪府大阪市北区芝田1-4-14　芝田町ビル2F東京都新宿区西新宿1-13-12西新宿昭和ビル3F,https://www.nissonet.co.jp/company/
123,株式会社メディカルリソース,2000年, - , - ,東京都千代田区丸の内1-9-1　グラントウキョウノースタワー40階,https://www.medical-res.co.jp/
124,株式会社綜合キャリアオプション,1990年,大泉 高太,1000人以上,東京都港区浜松町2-4-1 世界貿易センタービルディング南館,http://www.sougo-staff.co.jp/
125,株式会社トップ・スタッフ,1989年, - ,30-99人,東京都渋谷区桜丘町18-4二宮ビル4階,http://www.topstaff.com/
126,株式会社ユウクリ,1984年,武藤　覚,30-99人,東京都渋谷区円山町28-3　いちご渋谷道玄坂ビル,https://www.y-create.co.jp/
127,日総工産株式会社,1971年, - ,1000人以上,神奈川県横浜市港北区新横浜1丁目4番1号日総工産新横浜ビル,http://www.nisso.co.jp/
128,株式会社トラストネットワーク,1989年, - ,500-999人,東京都港区六本木7-18-23　EX六本木ビル4F,http://www.trust-network.co.jp/
129,パーソナル株式会社,1987年, - ,1000人以上,東京都新宿区新宿3-27-4　新宿御幸ビル,http://www.personal.co.jp/
130,株式会社ジョイントネットワーク,1990年, - , - ,東京都文京区後楽2-1-11　飯田橋デルタビル9F,https://www.jointnetwork.net/
131,株式会社ディンプル,1991年, - ,1000人以上,大阪府大阪市北区梅田1-11-4　大阪駅前第4ビル22階,https://www.dimples.co.jp
132,株式会社サクシード,2004年, - ,30-99人,東京都新宿区高田馬場1-4-15 大樹生命高田馬場ビル8F,https://www.succeed-jinzai.jp/client/
133,株式会社アクセル,2007年, - ,500-999人,大阪府大阪市北区梅田3-3-45 マルイト西梅田ビル4F,http://www.axcell.info
134,株式会社ベルキャリエール,1980年, - ,30-99人,静岡県静岡市清水区相生町5-1,http://www.bellenet.co.jp/
135,株式会社ニッケン・キャリア・ステーション,2001年, - , - ,東京都豊島区池袋2-38-2　COSMY-? 3F,http://nikkencs.co.jp/
136,株式会社アステート,1991年, - , - ,徳島県徳島市昭和町6丁目11番地2,http://www.astate.co.jp/
137,株式会社インターワークス,1998年, - ,10-29人,岩手県盛岡市門1-4-32　ベストビジネスビル1F,http://www.interworks-987.co.jp/
138,株式会社エー・アンド・ケー・コム,2001年, - ,100-499人,東京都新宿区新宿5-16-11 新宿光ビル3F/4F,http://www.a-kcom.co.jp/
139,エンプロ株式会社,2004年, - , - ,愛知県名古屋市中区丸の内2-19-25 MS桜通6F,http://www.enpro.co.jp/
140,株式会社ワークスタッフ,1985年, - ,1000人以上,徳島県徳島市西新町5-17,http://www.ws-gp.co.jp/
141,株式会社クリエアナブキ,1986年, - ,100-499人,香川県高松市磨屋町2番地8,http://www.crie.co.jp/
142,株式会社エイジェック,2001年, - ,1000人以上,東京都新宿区西新宿1-25-1 新宿センタービル46階,http://www.agekke.co.jp/
143,株式会社ビーネックスパートナーズ,2009年, - ,100-499人,東京都港区東新橋2丁目14-1 NBFコモディオ汐留,https://www.benext.co.jp/bnp/
144,旭化成アミダス株式会社,1987年,内炭 広志,100-499人,東京都千代田区神田錦町三丁目22番地　テラススクエア 5F,https://www.amidas.co.jp/
145,株式会社コスモ,1988年, - ,30-99人,東京都渋谷区代々木2丁目13番8号 エスト新宿ビル6階,http://www.cosmo-web-net.co.jp/
146,パルド株式会社,2008年, - , - ,東京都中央区日本橋1-2-10 一東洋ビル5F,http://pardo.jp/
147,株式会社コア・ポテンシャル,2006年, - ,100-499人,東京都新宿区西新宿3丁目2番11号新宿三井ビルディング二号館　7F,https://core-potential.co.jp
148,株式会社アセットオール,2004年, - ,500-999人,千葉県柏市あけぼの4-3-23 パーソナルI 1F,http://www.asset-all.co.jp/
149,株式会社クルース,1997年, - ,10-29人,大阪府大阪市中央区南船場2-12-16 ルグラン心斎橋4F,http://www.cruz.co.jp/
150,株式会社ジャパン・ビジネス・サービス,1997年, - ,500-999人,東京都中央区日本橋茅場町一丁目13番13号　七宝ビルディング8F,http://www.jabs.co.jp/
151,株式会社カインズスタッフ,2003年, - , - ,千葉県船橋市葛飾町２丁目３４０番地　フロントンビル５,http://www.kind-sstaff.co.jp/
152,西日本エリートスタッフ株式会社,1987年, - , - ,福岡県久留米市日吉町15-60　ニッセイ久留米ビル9F,http://elite-staff.com/
