No.,会社名,設立年,代表者名,従業員数,住所,会社URL
88,株式会社ユウクリ,1984年,武藤　覚,30-99人,東京都渋谷区円山町28-3　いちご渋谷道玄坂ビル,https://www.y-create.co.jp/
89,ヒューレックス株式会社,2003年, - ,30-99人,宮城県仙台市青葉区中央1-3-1,http://www.hurex.jp/
90,テクノブレーン株式会社,1992年, - ,30-99人,東京都港区六本木6-10-1 六本木ヒルズ森タワー35階,http://www.techno-brain.co.jp/
91,株式会社キャリアプランニング,1986年, - ,100-499人,岡山県岡山市北区本町6番36号　第一セントラルビル1階,https://www.capla.co.jp/
92,日研トータルソーシング株式会社,1981年, - ,1000人以上,東京都大田区西蒲田7-23-3　日研第一ビル,http://www.nikken-sogyo.co.jp/
93,インターウォーズ株式会社,1995年, - , - ,東京都中央区銀座6-13-16 ヒューリック銀座ウォールビル9階,http://www.interwoos.com/
94,アビリティーセンター株式会社,1986年, - ,100-499人,愛媛県新居浜市坂井町2-3-17　新居浜テレコムプラザ7F,http://www.abi.co.jp/
95,株式会社クリエアナブキ,1986年, - ,100-499人,香川県高松市磨屋町2番地8,http://www.crie.co.jp/
96,富士ヒューマンテック株式会社,2002年, - , - ,埼玉県さいたま市浦和区北浦和4-5-5 北浦和大栄ビル 3F,http://www.fujihumantec.com/
97,株式会社RDサポート,2002年, - , - ,東京都中央区銀座6丁目2番1号 Daiwa銀座ビル3F,http://www.rdsupport.co.jp/
98,株式会社メイツ中国,1989年, - , - ,広島県広島市中区胡町4-21 朝日生命広島胡町ビル,http://www.mateschugoku.co.jp/
99,株式会社博報堂DYキャプコ,1994年, - ,30-99人,東京都港区赤坂2-14-27　国際新赤坂ビル東館11F,http://www.hakuhodo-dy.capco.co.jp/
100,島本パートナーズ,1997年,秦　一成,5-9人,東京都千代田区内幸町1-1-1 帝国ホテルタワー5F,http://www.shimamotop.com/
101,クックビズ株式会社,2007年, - ,100-499人,大阪府大阪市北区芝田2丁目7番18号　LUCID SQUARE UMEDA 8階,http://www.cookbiz.co.jp/
102,シリコンスタジオ株式会社,1999年, - ,100-499人,東京都渋谷区恵比寿1-21-3 NRビル,https://www.siliconstudio.co.jp/
103,株式会社GEEKLY（ギークリー）,2011年, - , - ,東京都渋谷区渋谷1-11-8　渋谷パークプラザ 4F,http://corporate.geekly.co.jp/
104,リス株式会社,1980年,木村　亮郎,30-99人,東京都新宿区西新宿２丁目４番１号　新宿ＮＳビル２５階,http://www.lis21.co.jp/
105,株式会社ニッケン・キャリア・ステーション,2001年, - , - ,東京都豊島区池袋2-38-2　COSMY-? 3F,http://nikkencs.co.jp/
106,ジャーナルスタッフ株式会社,1997年, - , - ,群馬県高崎市栄町3-26 2F,https://a-staff.com
107,サーチファーム・ジャパン株式会社,2003年, - ,30-99人,東京都千代田区麹町 1-7 相互半蔵門ビルディング,http://www.search-firm.co.jp/
108,株式会社アステート,1991年, - , - ,徳島県徳島市昭和町6丁目11番地2,http://www.astate.co.jp/
109,株式会社人材情報センター,1985年, - ,10-29人,石川県金沢市西念1-1-3 コンフィデンス金沢4F,https://www.jjc-net.co.jp/
110,東京エグゼクティブ・サーチ株式会社,1975年, - ,10-29人,東京都千代田区飯田橋2-1-5 S-Glanz KUDAN BLD. 5階,https://www.tesco.co.jp
111,株式会社パスラン,2008年, - , - ,東京都中央区銀座6-7-18　デイム銀座5階,http://www.passrun.co.jp/
112,株式会社スターキャリア,2006年, - , - ,群馬県高崎市新保町1665-1,http://www.starcareer.co.jp/
113,株式会社ダンネット,2005年,林 正史,30-99人,東京都中央区日本橋堀留町1-5-7 YOUビル2階,http://www.dannet.jp/
114,西日本エリートスタッフ株式会社,1987年, - , - ,福岡県久留米市日吉町15-60　ニッセイ久留米ビル9F,http://elite-staff.com/
115,株式会社コンフィアック,2009年, - , - ,東京都港区港南2-16-1　品川イーストワンタワー7F・8F,https://www.confiacc.co.jp
116,株式会社グレート長野,2002年, - ,10-29人,長野県長野市高田413,http://www.great-nagano.co.jp/
117,北陸人材バンク株式会社,1999年, - , - ,富山県富山市千石町3-6-6,http://h-jb.com/
118,株式会社ACR,1967年, - ,100-499人,福岡県福岡市中央区渡辺通4-10-10 紙与天神ビル2F,http://www.acr.gr.jp/
119,ビジネス・コンサート株式会社,1988年, - , - ,大阪府東大阪市荒本北1丁目4-17 クリエイション・コア東大阪　北館307,http://www.b-concert.co.jp/
120,イーキュア株式会社,2004年, - , - ,長野県松本市島立830-11,http://www.e-cure.jp/
121,Man to Man株式会社,2001年,田中　正次,100-499人,愛知県名古屋市中区新栄1丁目7番7号RTセンターステージビル,http://www.man-to-man-g.com/
122,株式会社エース・プロモーション,1973年, - , - ,東京都豊島区東池袋1-22-1　GSハイム池袋306号,http://www.ace-pro.jp/
123,株式会社キープキャリエール,1991年, - , - ,栃木県宇都宮市滝谷町14-7,http://www.keep.ne.jp/
124,株式会社北陸人材ネット,2007年, - , - ,石川県金沢市玉川町11番18号新石川ビル7F,http://www.hokurikujinzainet.com/
125,株式会社コープラス,2006年, - , - ,東京都千代田区九段北1-1-7 カーサ九段ビル７Ｆ,https://co-p.jp/
126,株式会社キャリアプラス,2005年, - ,10-29人,茨城県水戸市本町2丁目12-25,http://www.careerplus.co.jp/
127,株式会社ゼロン,1993年, - ,10-29人,東京都渋谷区渋谷2丁目22-16 渋谷TRビル3F兵庫県神戸市中央区江戸町95 井門神戸ビル4F,http://zeron.jp/
128,株式会社ワークスタイル,1988年, - , - , - ,https://www.work-style.net/
129,株式会社リンク・アンビション,2011年, - , - ,静岡県静岡市葵区紺屋町11‐1　浮月ビル4階,http://rs-shizuoka.net/
130,株式会社ゲートステージ,2004年,淺沼　好春,5-9人,東京都新宿区揚場町2番18号　ブリエ飯田橋ビル6F,http://www.gatestage.co.jp/
131,MutsubiAgent株式会社,2012年, - , - ,徳島県徳島市昭和町1-67,http://mutsubi-a.jp/
132,株式会社トラスト,1985年, - ,30-99人,愛知県岡崎市東大友町並木側13番地1,http://www.trust-family.co.jp/
